line,reason,pickup_ts,dropoff_ts,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,distance,fare
316,bad_distance,,,,,,,,
317,bad_distance,,,,,,,,
318,bad_distance,,,,,,,,
319,bad_distance,,,,,,,,
320,bad_distance,,,,,,,,
321,bad_distance,,,,,,,,
322,bad_distance,,,,,,,,
323,bad_distance,,,,,,,,
324,bad_distance,,,,,,,,
325,bad_distance,,,,,,,,
326,bad_distance,,,,,,,,
327,bad_distance,,,,,,,,
328,bad_distance,,,,,,,,
329,bad_distance,,,,,,,,
330,bad_distance,,,,,,,,
331,bad_distance,,,,,,,,
332,bad_distance,,,,,,,,
333,bad_distance,,,,,,,,
334,bad_distance,,,,,,,,
335,bad_distance,,,,,,,,
336,bad_distance,,,,,,,,
337,bad_distance,,,,,,,,
338,bad_distance,,,,,,,,
339,bad_distance,,,,,,,,
340,bad_distance,,,,,,,,
341,bad_distance,,,,,,,,
342,bad_distance,,,,,,,,
343,bad_distance,,,,,,,,
344,bad_distance,,,,,,,,
345,bad_distance,,,,,,,,
346,bad_distance,,,,,,,,
347,bad_distance,,,,,,,,
348,bad_distance,,,,,,,,
349,bad_distance,,,,,,,,
350,bad_distance,,,,,,,,
351,bad_distance,,,,,,,,
352,bad_distance,,,,,,,,
353,bad_distance,,,,,,,,
354,bad_distance,,,,,,,,
355,bad_distance,,,,,,,,
356,bad_distance,,,,,,,,
357,bad_distance,,,,,,,,
358,bad_distance,,,,,,,,
359,bad_distance,,,,,,,,
360,bad_distance,,,,,,,,
361,bad_distance,,,,,,,,
362,bad_distance,,,,,,,,
363,bad_distance,,,,,,,,
364,bad_distance,,,,,,,,
365,bad_distance,,,,,,,,
366,bad_distance,,,,,,,,
367,bad_distance,,,,,,,,
368,bad_distance,,,,,,,,
369,bad_distance,,,,,,,,
370,bad_distance,,,,,,,,
371,bad_distance,,,,,,,,
372,bad_distance,,,,,,,,
373,bad_distance,,,,,,,,
374,bad_distance,,,,,,,,
375,bad_distance,,,,,,,,
376,bad_distance,,,,,,,,
377,bad_distance,,,,,,,,
378,bad_distance,,,,,,,,
379,bad_distance,,,,,,,,
380,bad_distance,,,,,,,,
381,bad_distance,,,,,,,,
382,bad_distance,,,,,,,,
383,bad_distance,,,,,,,,
384,bad_distance,,,,,,,,
385,bad_distance,,,,,,,,
386,bad_distance,,,,,,,,
387,bad_distance,,,,,,,,
388,bad_distance,,,,,,,,
389,bad_distance,,,,,,,,
390,bad_distance,,,,,,,,
391,bad_distance,,,,,,,,
392,bad_distance,,,,,,,,
393,bad_distance,,,,,,,,
394,bad_distance,,,,,,,,
395,bad_distance,,,,,,,,
396,bad_distance,,,,,,,,
397,bad_distance,,,,,,,,
398,bad_distance,,,,,,,,
399,bad_distance,,,,,,,,
400,bad_distance,,,,,,,,
401,bad_distance,,,,,,,,
402,bad_distance,,,,,,,,
403,bad_distance,,,,,,,,
404,bad_distance,,,,,,,,
405,bad_distance,,,,,,,,
406,bad_distance,,,,,,,,
407,bad_distance,,,,,,,,
408,bad_distance,,,,,,,,
409,bad_distance,,,,,,,,
410,bad_distance,,,,,,,,
411,bad_distance,,,,,,,,
412,bad_distance,,,,,,,,
413,bad_distance,,,,,,,,
414,bad_distance,,,,,,,,
415,bad_distance,,,,,,,,
416,bad_distance,,,,,,,,
417,bad_distance,,,,,,,,
418,bad_distance,,,,,,,,
419,bad_distance,,,,,,,,
420,bad_distance,,,,,,,,
421,bad_distance,,,,,,,,
422,bad_distance,,,,,,,,
423,bad_distance,,,,,,,,
424,bad_distance,,,,,,,,
425,bad_distance,,,,,,,,
426,bad_distance,,,,,,,,
427,bad_distance,,,,,,,,
428,bad_distance,,,,,,,,
429,bad_distance,,,,,,,,
430,bad_distance,,,,,,,,
431,bad_distance,,,,,,,,
432,bad_distance,,,,,,,,
433,bad_distance,,,,,,,,
434,bad_distance,,,,,,,,
435,bad_distance,,,,,,,,
436,bad_distance,,,,,,,,
437,bad_distance,,,,,,,,
438,bad_distance,,,,,,,,
439,bad_distance,,,,,,,,
440,bad_distance,,,,,,,,
441,bad_distance,,,,,,,,
442,bad_distance,,,,,,,,
443,bad_distance,,,,,,,,
444,bad_distance,,,,,,,,
445,bad_distance,,,,,,,,
446,bad_distance,,,,,,,,
447,bad_distance,,,,,,,,
448,bad_distance,,,,,,,,
449,bad_distance,,,,,,,,
450,bad_distance,,,,,,,,
451,bad_distance,,,,,,,,
452,bad_distance,,,,,,,,
453,bad_distance,,,,,,,,
454,bad_distance,,,,,,,,
455,bad_distance,,,,,,,,
456,bad_distance,,,,,,,,
457,bad_distance,,,,,,,,
458,bad_distance,,,,,,,,
459,bad_distance,,,,,,,,
460,bad_distance,,,,,,,,
461,bad_distance,,,,,,,,
462,bad_distance,,,,,,,,
463,bad_distance,,,,,,,,
464,bad_distance,,,,,,,,
465,bad_distance,,,,,,,,
466,bad_distance,,,,,,,,
467,bad_distance,,,,,,,,
468,bad_distance,,,,,,,,
469,bad_distance,,,,,,,,
470,bad_distance,,,,,,,,
471,bad_distance,,,,,,,,
472,bad_distance,,,,,,,,
473,bad_distance,,,,,,,,
474,bad_distance,,,,,,,,
475,bad_distance,,,,,,,,
476,bad_distance,,,,,,,,
477,bad_distance,,,,,,,,
478,bad_distance,,,,,,,,
479,bad_distance,,,,,,,,
480,bad_distance,,,,,,,,
481,bad_distance,,,,,,,,
482,bad_distance,,,,,,,,
483,bad_distance,,,,,,,,
484,bad_distance,,,,,,,,
485,bad_distance,,,,,,,,
486,bad_distance,,,,,,,,
487,bad_distance,,,,,,,,
488,bad_distance,,,,,,,,
489,bad_distance,,,,,,,,
490,bad_distance,,,,,,,,
491,bad_distance,,,,,,,,
492,bad_distance,,,,,,,,
493,bad_distance,,,,,,,,
494,bad_distance,,,,,,,,
495,bad_distance,,,,,,,,
496,bad_distance,,,,,,,,
497,bad_distance,,,,,,,,
498,bad_distance,,,,,,,,
499,bad_distance,,,,,,,,
500,bad_distance,,,,,,,,
501,bad_distance,,,,,,,,
502,bad_distance,,,,,,,,
